time_iso8601,stars_cumulative
2022-09-21 00:00:00+00:00,260
2022-09-22 00:00:00+00:00,262
2022-09-26 00:00:00+00:00,264
2022-09-28 00:00:00+00:00,265
2022-09-29 00:00:00+00:00,266
2022-09-30 00:00:00+00:00,267
2022-10-05 00:00:00+00:00,269
2022-10-12 00:00:00+00:00,270
2022-10-13 00:00:00+00:00,271
2022-10-14 00:00:00+00:00,272
2022-10-18 00:00:00+00:00,274
2022-10-19 00:00:00+00:00,276
2022-10-21 00:00:00+00:00,278
2022-10-25 00:00:00+00:00,280
2022-10-29 00:00:00+00:00,281
2022-10-30 00:00:00+00:00,283
2022-10-31 00:00:00+00:00,288
2022-11-01 00:00:00+00:00,292
2022-11-02 00:00:00+00:00,293
2022-11-03 00:00:00+00:00,295
2022-11-04 00:00:00+00:00,296
2022-11-07 00:00:00+00:00,297
2022-11-08 00:00:00+00:00,298
2022-11-09 00:00:00+00:00,299
2022-11-13 00:00:00+00:00,300
2022-11-14 00:00:00+00:00,301
2022-11-16 00:00:00+00:00,304
2022-11-17 00:00:00+00:00,305
2022-11-23 00:00:00+00:00,306
2022-11-24 00:00:00+00:00,309
2022-11-29 00:00:00+00:00,310
2022-12-03 00:00:00+00:00,311
2022-12-05 00:00:00+00:00,313
2022-12-06 00:00:00+00:00,314
2022-12-30 00:00:00+00:00,317
2022-12-31 00:00:00+00:00,318
2023-01-05 00:00:00+00:00,320
2023-01-07 00:00:00+00:00,321
2023-01-11 00:00:00+00:00,332
2023-01-12 00:00:00+00:00,338
2023-01-13 00:00:00+00:00,340
2023-01-15 00:00:00+00:00,343
2023-01-16 00:00:00+00:00,346
2023-01-21 00:00:00+00:00,349
2023-01-22 00:00:00+00:00,350
2023-01-23 00:00:00+00:00,351
2023-01-24 00:00:00+00:00,352
2023-01-26 00:00:00+00:00,353
2023-01-28 00:00:00+00:00,354
2023-02-03 00:00:00+00:00,355
2023-02-06 00:00:00+00:00,356
2023-02-07 00:00:00+00:00,358
2023-02-11 00:00:00+00:00,359
2023-02-14 00:00:00+00:00,360
2023-02-16 00:00:00+00:00,362
2023-02-17 00:00:00+00:00,364
2023-02-19 00:00:00+00:00,365
2023-02-21 00:00:00+00:00,366
2023-02-23 00:00:00+00:00,367
2023-02-27 00:00:00+00:00,369
2023-02-28 00:00:00+00:00,372
2023-03-01 00:00:00+00:00,373
2023-03-05 00:00:00+00:00,374
2023-03-07 00:00:00+00:00,375
2023-03-10 00:00:00+00:00,377
2023-03-14 00:00:00+00:00,378
2023-03-15 00:00:00+00:00,381
2023-03-16 00:00:00+00:00,382
2023-03-17 00:00:00+00:00,384
2023-03-20 00:00:00+00:00,385
2023-03-21 00:00:00+00:00,386
2023-03-22 00:00:00+00:00,387
2023-03-26 00:00:00+00:00,388
2023-03-27 00:00:00+00:00,389
2023-03-28 00:00:00+00:00,390
2023-04-03 00:00:00+00:00,391
2023-04-04 00:00:00+00:00,392
2023-04-07 00:00:00+00:00,393
2023-04-11 00:00:00+00:00,394
2023-04-12 00:00:00+00:00,396
2023-04-17 00:00:00+00:00,397
2023-04-18 00:00:00+00:00,399
2023-04-19 00:00:00+00:00,400
2023-04-20 00:00:00+00:00,402
2023-04-24 00:00:00+00:00,403
2023-04-25 00:00:00+00:00,404
2023-04-26 00:00:00+00:00,406
2023-04-27 00:00:00+00:00,407
2023-04-28 00:00:00+00:00,408
2023-05-03 00:00:00+00:00,410
2023-05-04 00:00:00+00:00,411
2023-05-05 00:00:00+00:00,412
2023-05-06 00:00:00+00:00,413
2023-05-08 00:00:00+00:00,415
2023-05-09 00:00:00+00:00,416
2023-05-14 00:00:00+00:00,417
2023-05-16 00:00:00+00:00,418
2023-05-23 00:00:00+00:00,420
2023-05-31 00:00:00+00:00,422
2023-06-01 00:00:00+00:00,423
2023-06-03 00:00:00+00:00,424
2023-06-05 00:00:00+00:00,425
2023-06-08 00:00:00+00:00,426
2023-06-13 00:00:00+00:00,427
2023-06-18 00:00:00+00:00,428
2023-06-23 00:00:00+00:00,430
2023-06-26 00:00:00+00:00,431
2023-06-29 00:00:00+00:00,432
2023-07-07 00:00:00+00:00,433
2023-07-12 00:00:00+00:00,435
2023-07-18 00:00:00+00:00,437
2023-07-19 00:00:00+00:00,439
2023-07-25 00:00:00+00:00,440
2023-07-29 00:00:00+00:00,441
2023-08-02 00:00:00+00:00,443
2023-08-03 00:00:00+00:00,444
2023-08-04 00:00:00+00:00,452
2023-08-05 00:00:00+00:00,453
2023-08-08 00:00:00+00:00,454
2023-08-10 00:00:00+00:00,456
